ablation_dimension,pipeline,mean_top1_ev,mean_top1_tier_ord,mean_ndcg3_ev,mean_ndcg3_tier,mean_mrr,n_queries,mean_top1_tier_label
adversarial,Standard,3.1333333333333333,2.1222222222222222,0.8078110558551345,0.6154407483655293,0.29055555555555557,90,Q3
adversarial,TFR,1.6777777777777778,0.4,0.9349663258647458,0.8992018720747718,0.8003703703703704,90,Q1
evidence_level,Standard,2.7111111111111112,1.8555555555555556,0.8069242153683946,0.6336382762033996,0.4255555555555555,90,Q3
evidence_level,TFR,1.4666666666666666,0.3,0.9424669411311393,0.9204151818362907,0.8512962962962962,90,Q1
journal_tier,Standard,2.9555555555555557,2.2333333333333334,0.7915213737427346,0.5648909524837745,0.3053703703703704,90,Q3
journal_tier,TFR,1.488888888888889,0.4888888888888889,0.9356578518541488,0.878838560442223,0.8453703703703703,90,Q1
multi_factor,Standard,2.2777777777777777,2.1444444444444444,0.8241247700982793,0.5649761444389634,0.4898148148148148,90,Q3
multi_factor,TFR,1.2777777777777777,0.17777777777777778,0.9486743274315106,0.9440366987965481,0.9179629629629629,90,Q1
